name,avk,babip,gap,pow,eye,G,W,L,RS,RA,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,winpct,runs_per_g
BABIP35,50,35,50,50,50,100000,49399,50601,429655,435999,407613,49301,95797,19199,1404,11646,41554,152742,32843,94065,3040,2454,0.235,0.293,0.375,0.668,0.4940,4.297
BABIP40,50,40,50,50,50,100000,49921,50079,433840,435429,411514,51225,100724,20362,1532,11987,43061,160111,33359,95855,3142,2479,0.245,0.302,0.389,0.691,0.4992,4.338
BABIP45,50,45,50,50,50,100000,50167,49833,437391,436130,413466,52242,104802,21214,1616,12033,44129,165347,33776,96158,3261,2591,0.253,0.311,0.400,0.711,0.5017,4.374
BABIP55,50,55,50,50,50,100000,50474,49526,438537,436003,416860,53770,111879,22695,1848,12265,45919,175065,33454,96403,3338,2582,0.268,0.323,0.420,0.743,0.5047,4.385
BABIP60,50,60,50,50,50,100000,50382,49618,440003,435282,417342,54488,114510,23544,1882,12182,46897,178364,34083,96642,3447,2652,0.274,0.330,0.427,0.757,0.5038,4.400
BABIP65,50,65,50,50,50,100000,50715,49285,442187,434558,418405,56126,117875,24233,1894,12239,47726,182613,36358,97384,3546,2754,0.282,0.340,0.436,0.776,0.5072,4.422
BABIP70,50,70,50,50,50,100000,50892,49108,444470,435661,420832,57157,121444,25064,2023,12496,49007,188042,36197,98025,3477,2802,0.289,0.345,0.447,0.792,0.5089,4.445
BABIP75,50,75,50,50,50,100000,51020,48980,446275,435430,420584,58151,123891,25405,2060,12628,49368,191300,36303,98372,3723,2864,0.295,0.351,0.455,0.806,0.5102,4.463
BABIP80,50,80,50,50,50,100000,51333,48667,450213,435652,418041,60104,127005,26147,2020,12239,48731,193909,39835,97566,3893,3011,0.304,0.365,0.464,0.829,0.5133,4.502
GAP20,50,50,20,50,50,100000,49427,50573,428098,434302,413144,49816,106968,6437,449,11991,40860,150276,33650,96117,3671,2974,0.259,0.315,0.364,0.679,0.4943,4.281
GAP25,50,50,25,50,50,100000,49356,50644,429391,435188,413317,50393,107007,9900,727,11961,41680,154244,33629,96355,3578,2892,0.259,0.315,0.373,0.689,0.4936,4.294
GAP30,50,50,30,50,50,100000,49635,50365,431825,435589,413249,50791,106848,12125,903,12114,42453,157121,33932,96445,3627,2772,0.259,0.315,0.380,0.696,0.4964,4.318
GAP35,50,50,35,50,50,100000,49676,50324,432825,436309,413894,51418,107165,14303,1083,11991,42645,159607,33455,97197,3446,2690,0.259,0.315,0.386,0.701,0.4968,4.328
GAP40,50,50,40,50,50,100000,49790,50210,433723,434860,414341,52053,108002,17190,1317,12283,43772,164675,33734,96461,3258,2680,0.261,0.317,0.397,0.714,0.4979,4.337
GAP45,50,50,45,50,50,100000,49878,50122,432227,434360,414300,52394,107201,19823,1610,12215,44060,166889,33875,97041,3222,2603,0.259,0.316,0.403,0.718,0.4988,4.322
GAP55,50,50,55,50,50,100000,49917,50083,434010,435260,414376,52946,107732,23395,1764,12184,45318,171207,33767,96470,3240,2531,0.260,0.316,0.413,0.730,0.4992,4.340
GAP60,50,50,60,50,50,100000,50096,49904,436085,434496,414639,52939,108103,24438,1884,12102,45407,172615,33670,96666,3158,2470,0.261,0.317,0.416,0.733,0.5010,4.361
GAP65,50,50,65,50,50,100000,50358,49642,435045,434077,414718,53248,107845,25593,1985,11995,45762,173393,33560,96889,3121,2479,0.260,0.316,0.418,0.734,0.5036,4.350
GAP70,50,50,70,50,50,100000,50216,49784,435508,434583,414861,53331,107736,26375,2090,12283,46216,175140,33586,97248,3180,2564,0.260,0.316,0.422,0.738,0.5022,4.355
GAP75,50,50,75,50,50,100000,50199,49801,435945,435853,414898,53912,107940,27846,2259,12139,46132,176721,33688,97095,3047,2538,0.260,0.317,0.426,0.743,0.5020,4.359
GAP80,50,50,80,50,50,100000,50277,49723,437291,435403,415434,54225,107972,28997,2211,12291,46684,178264,33730,97189,3150,2510,0.260,0.316,0.429,0.745,0.5028,4.373
POW20,50,50,50,20,50,100000,48235,51765,418216,434685,405395,41451,96718,22115,1727,848,27273,124831,32457,93855,3187,2561,0.239,0.296,0.308,0.604,0.4824,4.182
POW25,50,50,50,25,50,100000,48392,51608,420661,437111,405145,43508,99048,23244,1792,2390,29485,133046,32837,93812,3298,2766,0.244,0.302,0.328,0.630,0.4839,4.207
POW30,50,50,50,30,50,100000,48387,51613,421232,436241,405629,44648,100633,23671,1867,3828,31859,139522,32388,93246,3381,2674,0.248,0.305,0.344,0.649,0.4839,4.212
POW35,50,50,50,35,50,100000,49011,50989,425458,434134,405918,46914,102763,24441,1824,5479,34298,147289,32826,94326,3304,2649,0.253,0.310,0.363,0.673,0.4901,4.255
POW40,50,50,50,40,50,100000,49222,50778,429244,435936,408505,49328,105235,24827,1930,7697,37508,157013,32942,94661,3306,2687,0.258,0.314,0.384,0.698,0.4922,4.292
POW45,50,50,50,45,50,100000,49808,50192,434801,436397,413367,52640,109097,25829,1854,10402,42095,169840,33456,96342,3259,2584,0.264,0.320,0.411,0.731,0.4981,4.348
POW55,50,50,50,55,50,100000,50533,49467,444152,437098,411792,57101,109255,21835,1601,15121,48448,179655,38813,96484,3226,2599,0.265,0.329,0.436,0.766,0.5053,4.442
POW60,50,50,50,60,50,100000,51090,48910,448219,436547,413565,59866,111940,21728,1625,18170,53056,191428,38327,96540,3100,2611,0.271,0.333,0.463,0.796,0.5109,4.482
POW65,50,50,50,65,50,100000,51392,48608,449166,435690,416178,62524,114441,21492,1667,21209,58431,202894,40147,98532,3171,2557,0.275,0.339,0.488,0.827,0.5139,4.492
POW70,50,50,50,70,50,100000,51722,48278,453745,435533,416986,65234,117029,21466,1762,23968,62615,213923,40009,98629,3257,2556,0.281,0.344,0.513,0.857,0.5172,4.537
POW75,50,50,50,75,50,100000,51988,48012,455882,436085,416882,67852,118733,21411,1722,26830,66240,224078,40340,98390,3242,2551,0.285,0.349,0.538,0.886,0.5199,4.559
POW80,50,50,50,80,50,100000,52830,47170,463161,435649,409046,72201,119538,20765,1626,30559,69713,235232,49422,96554,3139,2488,0.292,0.369,0.575,0.944,0.5283,4.632
EYE20,50,50,50,50,20,100000,49027,50973,425387,436415,438233,48035,114112,23254,1824,12811,46555,179447,5544,101744,2740,2162,0.260,0.271,0.409,0.680,0.4903,4.254
EYE25,50,50,50,50,25,100000,49142,50858,425656,436040,434843,48405,113192,22757,1828,12633,46496,177504,9315,101491,2754,2270,0.260,0.277,0.408,0.685,0.4914,4.257
EYE30,50,50,50,50,30,100000,49616,50384,428116,432967,430858,49456,112196,22937,1688,12633,46071,176408,13946,100395,2929,2269,0.260,0.285,0.409,0.694,0.4962,4.281
EYE35,50,50,50,50,35,100000,49666,50334,429551,433615,426669,50104,110872,22574,1735,12542,45684,174542,18658,99300,2904,2392,0.260,0.292,0.409,0.701,0.4967,4.296
EYE40,50,50,50,50,40,100000,49819,50181,430500,434402,422193,50732,109456,22190,1766,12229,45173,171865,24217,98962,3187,2460,0.259,0.300,0.407,0.707,0.4982,4.305
EYE45,50,50,50,50,45,100000,49932,50068,433924,434032,417911,52369,108775,22239,1812,12222,45200,171304,29772,97476,3180,2514,0.260,0.310,0.410,0.720,0.4993,4.339
EYE55,50,50,50,50,55,100000,49910,50090,436605,437202,410627,53682,107065,21762,1712,12069,44627,168458,38067,95609,3375,2693,0.261,0.324,0.410,0.734,0.4991,4.366
EYE60,50,50,50,50,60,100000,50210,49790,437829,434947,407879,53937,106632,21647,1646,12013,44495,167610,41874,95317,3414,2735,0.261,0.331,0.411,0.742,0.5021,4.378
EYE65,50,50,50,50,65,100000,50228,49772,439300,435991,404687,54979,104805,21422,1648,11839,43790,165040,45332,94494,3451,2792,0.259,0.334,0.408,0.742,0.5023,4.393
EYE70,50,50,50,50,70,100000,50406,49594,438663,435249,401134,55461,104856,21378,1681,11841,43981,165119,49262,93414,3584,2857,0.261,0.343,0.412,0.754,0.5041,4.387
EYE75,50,50,50,50,75,100000,50252,49748,439715,436970,399092,56049,104015,21316,1753,11808,43821,164261,52314,93214,3719,2878,0.261,0.347,0.412,0.758,0.5025,4.397
EYE80,50,50,50,50,80,100000,50735,49265,443183,435358,393843,57515,102844,21013,1659,11634,43292,162077,58282,91814,3817,3000,0.261,0.357,0.412,0.768,0.5074,4.432
AVK20xEYE20,20,50,50,50,20,100000,47197,52803,402929,435126,360109,30043,61867,11412,892,10430,27433,106353,4551,185305,1600,1230,0.172,0.184,0.295,0.480,0.4720,4.029
AVK20xEYE35,20,50,50,50,35,100000,47401,52599,405621,435819,360495,32867,61583,11567,846,10539,27644,106459,15730,185753,1957,1511,0.171,0.208,0.295,0.503,0.4740,4.056
AVK20xEYE65,20,50,50,50,65,100000,47286,52714,411085,435151,392635,42005,67015,12391,946,11221,32650,114961,43571,202603,2673,2074,0.171,0.255,0.293,0.548,0.4729,4.111
AVK20xEYE80,20,50,50,50,80,100000,47623,52377,414223,435725,381820,44082,65317,11983,907,10962,32011,112000,55846,196731,2942,2322,0.171,0.278,0.293,0.572,0.4762,4.142
AVK35xEYE20,35,50,50,50,20,100000,47932,52068,415086,434946,429361,42963,97762,18987,1501,12598,41866,157545,5441,142969,2440,1920,0.228,0.239,0.367,0.606,0.4793,4.151
AVK35xEYE35,35,50,50,50,35,100000,48047,51953,418305,436428,419410,45168,95641,18968,1473,12332,40990,154551,18259,139949,2615,2147,0.228,0.262,0.368,0.630,0.4805,4.183
AVK35xEYE65,35,50,50,50,65,100000,49042,50958,427408,435441,398209,49767,90659,17895,1414,11709,39781,146509,44203,133404,3120,2535,0.228,0.306,0.368,0.674,0.4904,4.274
AVK35xEYE80,35,50,50,50,80,100000,49927,50073,433818,434932,389162,52248,88890,17566,1398,11348,39307,143296,57204,130542,3386,2789,0.228,0.328,0.368,0.696,0.4993,4.338
AVK65xEYE20,65,50,50,50,20,100000,49807,50193,432690,434867,442354,50992,124719,25666,1998,12835,49492,192886,5599,72821,2936,2430,0.282,0.292,0.436,0.728,0.4981,4.327
AVK65xEYE35,65,50,50,50,35,100000,50056,49944,436188,436767,431519,53361,121417,24956,2039,12683,49037,188500,18557,70838,3231,2647,0.281,0.312,0.437,0.748,0.5006,4.362
AVK65xEYE65,65,50,50,50,65,100000,51039,48961,444672,434374,407963,57771,114336,23594,1921,11937,46944,177583,47180,67603,3744,3047,0.280,0.355,0.435,0.790,0.5104,4.447
AVK65xEYE80,65,50,50,50,80,100000,51398,48602,450130,435546,397711,60382,111531,22920,1832,11681,46503,173158,60760,66485,3924,3055,0.280,0.376,0.435,0.811,0.5140,4.501
AVK80xEYE20,80,50,50,50,20,100000,50640,49360,439450,434792,444821,54382,134383,28025,2173,13057,52403,205925,5719,44976,3205,2496,0.302,0.311,0.463,0.774,0.5064,4.395
AVK80xEYE35,80,50,50,50,35,100000,51065,48935,445671,435233,433225,56853,130506,27109,2227,12832,52370,200565,20971,43948,3398,2650,0.301,0.334,0.463,0.797,0.5107,4.457
AVK80xEYE65,80,50,50,50,65,100000,51815,48185,452116,435247,409983,61036,123690,25741,2008,12054,50206,189609,47839,41648,3909,3167,0.302,0.375,0.462,0.837,0.5182,4.521
AVK80xEYE80,80,50,50,50,80,100000,52421,47579,458811,433997,395285,63907,119346,25072,1975,11710,48009,183498,64344,39921,4274,3333,0.302,0.399,0.464,0.864,0.5242,4.588
POW20xEYE20,50,50,50,20,20,100000,47267,52733,408805,434385,429708,36374,101875,23236,1803,899,28044,131414,5553,100447,2733,2221,0.237,0.248,0.306,0.554,0.4727,4.088
POW20xEYE35,50,50,50,20,35,100000,47845,52155,412816,435001,418417,38936,99323,22969,1762,917,27463,128567,17969,97593,2970,2341,0.237,0.27,0.307,0.577,0.4785,4.128
POW20xEYE65,50,50,50,20,65,100000,48646,51354,421021,433905,394631,43537,93699,21324,1609,835,26218,120746,43775,92079,3539,2888,0.237,0.314,0.306,0.620,0.4865,4.210
POW20xEYE80,50,50,50,20,80,100000,49174,50826,426291,434152,383817,45820,91414,20686,1642,810,26159,117814,55879,89589,3785,3047,0.238,0.335,0.307,0.642,0.4917,4.263
POW35xEYE20,50,50,50,35,20,100000,48111,51889,417778,435412,430844,42249,107994,25166,1885,5941,35319,154753,5399,100620,2685,2131,0.251,0.261,0.359,0.620,0.4811,4.178
POW35xEYE35,50,50,50,35,35,100000,48869,51131,422205,435926,419689,44145,105751,24852,1785,5607,34898,150994,18000,97551,3073,2384,0.252,0.284,0.360,0.644,0.4887,4.222
POW35xEYE65,50,50,50,35,65,100000,49458,50542,429002,435264,395400,48572,99446,23244,1740,5362,33416,142256,44225,92228,3636,2823,0.252,0.327,0.360,0.687,0.4946,4.290
POW35xEYE80,50,50,50,35,80,100000,49988,50012,435316,435561,385209,51166,97399,23138,1762,5112,33004,139397,56571,89460,3771,3026,0.253,0.349,0.362,0.711,0.4999,4.353
POW65xEYE20,50,50,50,65,20,100000,50374,49626,437159,434055,443042,56665,121496,22858,1809,22277,60815,214803,5664,104276,2642,2116,0.274,0.285,0.485,0.769,0.5037,4.372
POW65xEYE35,50,50,50,65,35,100000,50944,49056,442123,433420,427334,59276,117234,22102,1769,21310,57972,206804,23489,100265,2906,2409,0.274,0.313,0.484,0.797,0.5094,4.421
POW65xEYE65,50,50,50,65,65,100000,51581,48419,452801,436546,405875,63768,111255,21104,1699,20355,56234,196822,51490,95447,3433,2681,0.274,0.356,0.485,0.841,0.5158,4.528
POW65xEYE80,50,50,50,65,80,100000,51933,48067,456201,436185,394038,65766,107823,20416,1591,19746,55128,190659,64560,92883,3704,2856,0.274,0.376,0.484,0.860,0.5193,4.562
POW80xEYE20,50,50,50,80,20,100000,52225,47775,456145,435972,433987,68575,126656,21880,1658,32551,73191,249505,21724,102213,2614,2087,0.292,0.326,0.575,0.901,0.5223,4.561
POW80xEYE35,50,50,50,80,35,100000,52616,47384,459356,434793,422312,70653,123604,21456,1650,32071,72058,244573,34395,99295,2791,2217,0.293,0.347,0.579,0.926,0.5262,4.594
POW80xEYE65,50,50,50,80,65,100000,52979,47021,467008,436470,398495,73470,116364,20245,1607,29576,67949,228551,60723,94027,3376,2734,0.292,0.386,0.574,0.960,0.5298,4.670
POW80xEYE80,50,50,50,80,80,100000,53582,46418,470521,434618,385825,75762,112618,19610,1520,29172,66504,222784,74131,91856,3570,2876,0.292,0.406,0.577,0.984,0.5358,4.705
